book_title,isbn,description
Getting Things Done: The Art of Stress-Free Productivity,0142000280,"In today's world, yesterday's methods just don't work. In Getting Things Done, veteran coach and management consultant David Allen shares the breakthrough methods for stress-free performance that he has introduced to tens of thousands of people across the country. Allen's premise is simple: our productivity is directly proportional to our ability to relax. Only when our minds are clear and our thoughts are organized can we achieve effective productivity and unleash our creative potential. In Getting Things Done Allen shows how to:<br><br>* Apply the ""do it, delegate it, defer it, drop it"" rule to get your in-box to empty<br>* Reassess goals and stay focused in changing situations<br>* Plan projects as well as get them unstuck<br>* Overcome feelings of confusion, anxiety, and being overwhelmed<br>* Feel fine about what you're not doing<br><br>From core principles to proven tricks, Getting Things Done can transform the way you work, showing you how to pick up the pace without wearing yourself down."
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,0743291476,"From the bestselling author of ""The Know-It-All"" comes a fascinating and timely exploration of religion and the Bible.Raised in a secular family but increasingly interested in the relevance of faith in our modern world, A.J. Jacobs decides to dive in headfirst and attempt to obey the Bible as literally as possible for one full year. He vows to follow the Ten Commandments. To be fruitful and multiply. To love his neighbor. But also to obey the hundreds of less publicized rules: to avoid wearing clothes made of mixed fibers; to play a ten-string harp; to stone adulterers.<br><br>The resulting spiritual journey is at once funny and profound, reverent and irreverent, personal and universal and will make you see history's most influential book with new eyes.<br><br>Jacobs's quest transforms his life even more radically than the year spent reading the entire ""Encyclopedia Britannica"" for ""The Know-It-All."" His beard grows so unruly that he is regularly mistaken for a member of ZZ Top. He immerses himself in prayer, tends sheep in the Israeli desert, battles idolatry, and tells the absolute truth in all situations - much to his wife's chagrin.<br><br>Throughout the book, Jacobs also embeds himself in a cross-section of communities that take the Bible literally. He tours a Kentucky-based creationist museum and sings hymns with Pennsylvania Amish. He dances with Hasidic Jews in Brooklyn and does Scripture study with Jehovah's Witnesses. He discovers ancient biblical wisdom of startling relevance. And he wrestles with seemingly archaic rules that baffle the twenty-first-century brain.Jacobs's extraordinary undertaking yields unexpected epiphanies and challenges. A book that will charm readers both secular and religious, ""The Year of Living Biblically"" is part Cliff Notes to the Bible, part memoir, and part look into worlds unimaginable. Thou shalt not be able to put it down."
Fahrenheit 451,0007491565,"The terrifyingly prophetic novel of a post-literate future.<br><br>Guy Montag is a fireman. His job is to burn books, which are forbidden, being the source of all discord and unhappiness. Even so, Montag is unhappy; there is discord in his marriage. Are books hidden in his house? The Mechanical Hound of the Fire Department, armed with a lethal hypodermic, escorted by helicopters, is ready to track down those dissidents who defy society to preserve and read books.<br><br>The classic dystopian novel of a post-literate future, Fahrenheit 451 stands alongside Orwell’s 1984 and Huxley’s Brave New World as a prophetic account of Western civilization’s enslavement by the media, drugs and conformity.<br><br>Bradbury’s powerful and poetic prose combines with uncanny insight into the potential of technology to create a novel which, decades on from first publication, still has the power to dazzle and shock."
Confessions of an Economic Hit Man,0452287081,"From the author of the phenomenal New York Times bestseller, <em>Confessions of an Economic Hit Man</em>, comes an exposé of international corruption, and an inspired plan to turn the tide for future generations<br><br>With a presidential election around the corner, questions of America's military buildup, environmental impact, and foreign policy are on everyone's mind. Former Economic Hit Man John Perkins goes behind the scenes of the current geopolitical crisis and offers bold solutions to our most pressing problems. Drawing on interviews with other EHMs, jackals, CIA operatives, reporters, businessmen, and activists, Perkins reveals the secret history of events that have created the current American Empire, including:<br> <br>How the defeats in Vietnam and Iraq have benefited big business<br>The role of Israel as Fortress America in the Middle East<br>Tragic repercussions of the IMF's Asian Economic Collapse<br>The current Latin American revolution and its lessons for democracy<br>U.S. blunders in Tibet, Congo, Lebanon, and Venezuela<br><br>From the U.S. military in Iraq to infrastructure development in Indonesia, from Peace Corps volunteers in Africa to jackals in Venezuela, Perkins exposes a conspiracy of corruption that has fueled instability and anti-Americanism around the globe, with consequences reflected in our daily headlines. Having raised the alarm, Perkins passionately addresses how Americans can work to create a more peaceful and stable world for future generations.<br> "
The Vagabond,0374528047,"<div>Thirty-three years-old and recently divorced, Renée Néré has begun a new life on her own, supporting herself as a music-hall artist. Maxime, a rich and idle bachelor, intrudes on her independent existence and offers his love and the comforts of marriage. A provincial tour puts distance between them and enables Renée, in a moving series of leters and meditations, to resolve alone the struggle between her need to be loved and her need to have a life and work of her own.<br></div>"
Unmanned (Y: The Last Man #1),1563899809,"""Y"" is none other than unemployed escape artist Yorick Brown (his father was a Shakespeare buff), and he's seemingly the only male human left alive after a mysterious plague kills all Y-chromosome carriers on earth. But why are he and his faithful companion, the often testy male monkey Ampersand, still alive? He sets out to find the answer (and his girlfriend), while running from angry female Republicans (now running the government), Amazon wannabes that include his own sister (seemingly brainwashed), and other threats. The Vertigo team of Brian K. Vaughan, Pia Guerra, and Jose Marzan Jr. have given us a great read!"
The Republic,0140449140,"Presented in the form of a dialogue between Socrates and three different interlocutors, this classic text is an enquiry into the notion of a perfect community and the ideal individual within it. During the conversation, other questions are raised: what is goodness?; what is reality?; and what is knowledge? The Republic also addresses the purpose of education and the role of both women and men as guardians of the people. With remarkable lucidity and deft use of allegory, Plato arrives at a depiction of a state bound by harmony and ruled by philosopher kings."
The Time Machine,0451528557,"<strong>“I’ve had a most amazing time....”</strong><br><br>So begins the Time Traveller’s astonishing firsthand account of his journey 800,000 years beyond his own era—and the story that launched H.G. Wells’s successful career and earned him his reputation as the father of science fiction. With a speculative leap that still fires the imagination, Wells sends his brave explorer to face a future burdened with our greatest hopes...and our darkest fears. A pull of the Time Machine’s lever propels him to the age of a slowly dying Earth.  There he discovers two bizarre races—the ethereal Eloi and the subterranean Morlocks—who not only symbolize the duality of human nature, but offer a terrifying portrait of the men of tomorrow as well.  Published in 1895, this masterpiece of invention captivated readers on the threshold of a new century. Thanks to Wells’s expert storytelling and provocative insight, <strong>The Time Machine</strong> will continue to enthrall readers for generations to come.<br><br> "
Watchmen,0930289234,"This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.<br><br>One of the most influential graphic novels of all time and a perennial best-seller, <em>Watchmen</em> has been studied on college campuses across the nation and is considered a gateway title, leading readers to other graphic novels such as <em>V for Vendetta</em>, <em>Batman: The Dark Knight Returns</em> and <em>The Sandman</em> series."
Bird by Bird: Some Instructions on Writing and Life,0385480016,"""Thirty years ago my older brother, who was ten years old at the time, was trying to get a report on birds written that he'd had three months to write. [It] was due the next day. We were out at our family cabin in Bolinas, and he was at the kitchen table close to tears, surrounded by binder paper and pencils and unopened books on birds, immobilized by the hugeness of the task ahead. Then my father sat down beside him, put his arm around my brother's shoulder, and said. 'Bird by bird, buddy. Just take it bird by bird.'""<p>With this basic instruction always in mind, Anne Lamott returns to offer us a new gift: a step-by-step guide on how to write and on how to manage the writer's life. From ""Getting Started,' with ""Short Assignments,"" through ""Shitty First Drafts,"" ""Character,"" ""Plot,"" ""Dialogue."" all the way from ""False Starts"" to ""How Do You Know When You're Done?"" Lamott encourages, instructs, and inspires. She discusses ""Writers Block,"" ""Writing Groups,"" and ""Publication."" Bracingly honest, she is also one of the funniest people alive.</p><p>If you have ever wondered what it takes to be a writer, what it means to be a writer, what the contents of your school lunches said about what your parents were really like, this book is for you. From faith, love, and grace to pain, jealousy, and fear, Lamott insists that you keep your eyes open, and then shows you how to survive. And always, from the life of the artist she turns to the art of life.</p>"
I Am Legend,1857988094,"Robert Neville is the last living man on Earth... but he is not alone. Every other man, woman and child on the planet has become a vampire, and they are hungry for Neville's blood.<br><br>By day he is the hunter, stalking the undead through the ruins of civilisation. By night, he barricades himself in his home and prays for the dawn.<br><br>How long can one man survive like this?<br><br>"
Unmanned (Y: The Last Man #1),1563899809,"""Y"" is none other than unemployed escape artist Yorick Brown (his father was a Shakespeare buff), and he's seemingly the only male human left alive after a mysterious plague kills all Y-chromosome carriers on earth. But why are he and his faithful companion, the often testy male monkey Ampersand, still alive? He sets out to find the answer (and his girlfriend), while running from angry female Republicans (now running the government), Amazon wannabes that include his own sister (seemingly brainwashed), and other threats. The Vertigo team of Brian K. Vaughan, Pia Guerra, and Jose Marzan Jr. have given us a great read!"
Macrowikinomics: Rebooting Business and the World,1591843561,"In their 2007 bestseller, <em>Wikinomics</em> Don Tapscott and Anthony Williams showed the world how mass collaboration was changing the way businesses communicate, create value, and compete in the new global marketplace. Now, in the wake of the global financial crisis, the principles of wikinomics have become more powerful than ever. <br><br> Many of the institutions that have served us well for decades or centuries seem stuck in the past and unable to move forward. And yet, in every corner of the globe, a powerful new model of economic and social innovation is sweeping across all sectors-one where people with drive, passion, and expertise take advantage of new Web-based tools to get more involved in making the world more prosperous, just, and sustainable. <br><br> Tapscott and Williams show that in over a dozen fields-from finance to health care, science to education, the media to the environment-we have reached a historic turning point: cling to the old industrial-era paradigms or use collaborative innovation to revolutionize not only the way we work, but how we live, learn, create, govern, and care for one another. You'll meet innovators such as: <br><br> * An Iraq veteran whose start-up car company is ""staffed"" by over 4,500 competing designers and supplied by microfactories around the world <br> * A microlending community where 570,000 individuals help fund new ventures-from Angola to Vietnam <br> * An online community for people with life-altering diseases that also serves as a large-scale research project <br> * An astronomer who is mapping the universe with the help of 250,000 citizen scientists <br><br> Tapscott and Williams once again use original research to provide vivid new examples of organizations that are successfully embracing the principles of wikinomics to change the world. <br><br> Visit <a href=""http://www.Macrowikinomics.com"" target=""_blank"" rel=""nofollow"">www.Macrowikinomics.com</a>."
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,0743250621,"Part memoir and part education (or lack thereof), <em>The Know-It-All</em> chronicles NPR contributor A.J. Jacobs's hilarious, enlightening, and seemingly impossible quest to read the <em>Encyclopaedia Britannica</em> from A to Z.<br><br>33,000 PAGES<br> 44 MILLION WORDS<br> 10 BILLION YEARS OF HISTORY<br> 1 OBSESSED MAN<br><br>To fill the ever-widening gaps in his Ivy League education, A.J. Jacobs sets for himself the daunting task of reading all thirty-two volumes of the <em>Encyclopaedia Britannica.</em> His wife, Julie, tells him it's a waste of time, his friends believe he is losing his mind, and his father, a brilliant attorney who had once attempted the same feat and quit somewhere around Borneo, is encouraging but unconvinced.<br><br>With self-deprecating wit and a disarming frankness, <em>The Know-It-All</em> recounts the unexpected and comically disruptive effects Operation Encyclopedia has on every part of Jacobs's life -- from his newly minted marriage to his complicated relationship with his father and the rest of his charmingly eccentric New York family to his day job as an editor at <em>Esquire.</em> Jacobs's project tests the outer limits of his stamina and forces him to explore the real meaning of intelligence as he endeavors to join Mensa, win a spot on <em>Jeopardy!,</em> and absorb 33,000 pages of learning. On his journey he stumbles upon some of the strangest, funniest, and most profound facts about every topic under the sun, all while battling fatigue, ridicule, and the paralyzing fear that attends his first real-life responsibility -- the impending birth of his first child.<br><br><em>The Know-It-All</em> is an ingenious, mightily entertaining memoir of one man's intellect, neuroses, and obsessions, and a struggle between the all-consuming quest for factual knowledge and the undeniable gift of hard-won wisdom."
Maurice,0393310329,"<strong>The work of an exceptional artist working close to the peak of his powers."" —Christopher Lehmann-Haupt, New York Times</strong> <br><br>Set in the elegant Edwardian world of Cambridge undergraduate life, this story by a master novelist introduces us to Maurice Hall when he is fourteen. We follow him through public school and Cambridge, and on into his father's firm, Hill and Hall, Stock Brokers. In a highly structured society, Maurice is a conventional young man in almost every way, ""stepping into the niche that England had prepared for him"": except that his is homosexual.<br><br>Written during 1913 and 1914, after an interlude of writer's block following the publication of <em>Howards End</em>, and not published until 1971, Maurice was ahead of its time in its theme and in its affirmation that love between men can be happy. ""Happiness,"" Forster wrote, ""is its keynote….In Maurice I tried to create a character who was completely unlike myself or what I supposed myself to be: someone handsome, healthy, bodily attractive, mentally torpid, not a bad businessman and rather a snob. Into this mixture I dropped an ingredient that puzzles him, wakes him up, torments him and finally saves him."""
Brokeback Mountain,0743271327,"Annie Proulx has written some of the most original and brilliant short stories in contemporary literature, and for many readers and reviewers, ""Brokeback Mountain"" is her masterpiece. <p> Ennis del Mar and Jack Twist, two ranch hands, come together when they're working as sheepherder and camp tender one summer on a range above the tree line. At first, sharing an isolated tent, the attraction is casual, inevitable, but something deeper catches them that summer. </p><p> Both men work hard, marry, and have kids because that's what cowboys do. But over the course of many years and frequent separations this relationship becomes the most important thing in their lives, and they do anything they can to preserve it. </p><p> <em>The New Yorker</em> won the National Magazine Award for Fiction for its publication of ""Brokeback Mountain,"" and the story was included in <em>Prize Stories 1998: The O. Henry Awards.</em> In gorgeous and haunting prose, Proulx limns the difficult, dangerous affair between two cowboys that survives everything but the world's violent intolerance.</p>"
Rubyfruit Jungle,0553146963,"Bawdy and moving, the ultimate word-of-mouth bestseller, Rubyfruit Jungle is about growing up a lesbian in America--and living happily ever after. ""A truly incredible book"".--The Boston Globe."
From What I Remember...,1423155084,"KYLIE: Mexico? What a nightmare! I should be putting the finishing touches on my valedictorian speech. Graduation is TODAY! Wait! Is this a wedding band on my finger??<br><br>MAX: It started with Kylie's laptop and a truck full of stolen electronics and it ended in Ensenada. It was hot, the way she broke us out like some chick in an action movie. But now we're stranded here, with less than twenty-four hours before graduation.<br><br>WILL: Saving Kylie Flores from herself is kind of a full-time occupation. Luckily, I, Will Bixby, was born for the job. And when I found out she was stuck in Mexico with dreamy Max Langston, sure, I agreed to bring their passports across the border but there's no reason to rush back home right away. This party is just getting started.<br><br>LILY: This cannot be happening. It's like some cruel joke. Or a bad dream. I close my eyes and when I reopen them, they're still there. Max and Kylie Flores, freak of the century. In bed together. If Kylie thinks I'm giving him up without a fight, she's dead wrong."
Farm City: The Education of an Urban Farmer,1594202214,"<strong>Urban and rural collide in this wry, inspiring memoir of a woman who turned a vacant lot in downtown Oakland into a thriving farm</strong><br><br>Novella Carpenter loves cities-the culture, the crowds, the energy. At the same time, she can't shake the fact that she is the daughter of two back-to-the-land hippies who taught her to love nature and eat vegetables. Ambivalent about repeating her parents' disastrous mistakes, yet drawn to the idea of backyard self-sufficiency, Carpenter decided that it might be possible to have it both ways: a homegrown vegetable plot as well as museums, bars, concerts, and a twenty-four-hour convenience mart mere minutes away. Especially when she moved to a ramshackle house in inner city Oakland and discovered a weed-choked, garbage-strewn abandoned lot next door. She closed her eyes and pictured heirloom tomatoes, a beehive, and a chicken coop.<br><br> What started out as a few egg-laying chickens led to turkeys, geese, and ducks. Soon, some rabbits joined the fun, then two three-hundred-pound pigs. And no, these charming and eccentric animals weren't pets; she was a farmer, not a zookeeper. Novella was raising these animals for dinner. Novella Carpenter's corner of downtown Oakland is populated by unforgettable characters. Lana (<em>anal</em> spelled backward, she reminds us) runs a speakeasy across the street and refuses to hurt even a fly, let alone condone raising turkeys for Thanksgiving. Bobby, the homeless man who collects cars and car parts just outside the farm, is an invaluable neighborhood concierge. The turkeys, Harold and Maude, tend to escape on a daily basis to cavort with the prostitutes hanging around just off the highway nearby. Every day on this strange and beautiful farm, urban meets rural in the most surprising ways.<br><br> For anyone who has ever grown herbs on their windowsill, tomatoes on their fire escape, or obsessed over the offerings at the local farmers' market, Carpenter's story will capture your heart. And if you've ever considered leaving it all behind to become a farmer outside the city limits, or looked at the abandoned lot next door with a gleam in your eye, consider this both a cautionary tale and a full-throated call to action.<em> Farm City</em> is an unforgettably charming memoir, full of hilarious moments, fascinating farmers' tips, and a great deal of heart. It is also a moving meditation on urban life versus the natural world and what we have given up to live the way we do."
The Alchemist,0061122416,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and inspiring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried in the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles along the way. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts."
Written on the Body,0679744479,"The most beguilingly seductive novel to date from the author of The Passion and Sexing the Cherry. Winterson chronicles the consuming affair between the narrator, who is given neither name nor gender, and the beloved, a complex and confused married woman. ""At once a love story and a philosophical meditation.""--New York Times Book Review."
Gender Outlaws: The Next Generation,1580053084,"In the 15 years since the release of <em>Gender Outlaw,</em> Kate Bornstein’s groundbreaking challenge to gender ideology, transgender narratives have made their way from the margins to the mainstream and back again. Today's transgenders and other sex/gender radicals are writing a drastically new world into being. In <em>Gender Outlaws,</em> Bornstein, together with writer, raconteur, and theater artist S. Bear Bergman, collects and contextualizes the work of this generation's trans and genderqueer forward thinkers — new voices from the stage, on the streets, in the workplace, in the bedroom, and on the pages and websites of the world's most respected mainstream news sources. <em>Gender Outlaws</em> includes essays, commentary, comic art, and conversations from a diverse group of trans-spectrum people who live and believe in barrier-breaking lives."
