book_title,goodreads_id,isbn,isbn13,asin,image_url,publication_year,publication_month,publication_day,publisher,language_code,description,work,num_pages,format,url,link,authors,series_works
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,629,0060589469,9780060589462,"",http://d.gr-assets.com/books/1410136019m/629.jpg,2006,4,25,HarperTorch,eng,"One of the most important &amp; influential books written in the past half-century, Robert M. Pirsig's <em>Zen &amp; the Art of Motorcycle Maintenance</em> is a powerfully moving &amp; penetrating examination of how we live, a breathtaking meditation on how to live better. Here is the book that transformed a generation, an unforgettable narration of a summer motorcycle trip across America's Northwest, undertaken by a father &amp; his young son. A story of love &amp; fear--of growth, discovery &amp; acceptance--that becomes a profound personal &amp; philosophical odyssey into life's fundamental questions, this uniquely exhilarating modern classic is both touching &amp; transcendent, resonant with the myriad confusions of existence &amp; the small, essential triumphs that propel us forward.","#<Hashie::Mash best_book_id=629 books_count=152 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=20880522 id=175720 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=1974 original_title=""Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values"" rating_dist=""5:36093|4:39491|3:29408|2:11561|1:5278|total:121831"" ratings_count=121831 ratings_sum=455053 reviews_count=218163 text_reviews_count=5138>",540,Mass Market Paperback,http://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,http://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,,
What the Dog Saw and Other Adventures,6516450,0316078573,9780316078573,"",http://d.gr-assets.com/books/1344263875m/6516450.jpg,2009,10,20,"Little, Brown and Company",eng,"What is the difference between choking and panicking? Why are there dozens of varieties of mustard but only one variety of ketchup? What do football players teach us about how to hire teachers? What does hair dye tell us about the history of the 20th century?<br><br>In the past decade, Malcolm Gladwell has written three books that have radically changed how we understand our world and ourselves: <em>The Tipping Point</em>, <em>Blink</em>, and <em>Outliers</em>. Now, in <em>What the Dog Saw</em>, he brings together, for the first time, the best of his writing from <em>The New Yorker</em> over the same period. <br><br>Here you'll find the bittersweet tale of the inventor of the birth control pill, and the dazzling creations of pasta sauce pioneer Howard Moscowitz. Gladwell sits with Ron Popeil, the king of the American kitchen, as he sells rotisserie ovens, and divines the secrets of Cesar Millan, the ""dog whisperer"" who can calm savage animals with the touch of his hand. He explores intelligence tests and ethnic profiling and why it was that employers in Silicon Valley once tripped over themselves to hire the same college graduate.","#<Hashie::Mash best_book_id=6516450 books_count=1 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=1153732 id=6708278 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=2009 original_title=""What the Dog Saw and Other Adventures"" rating_dist=""5:13301|4:21761|3:15254|2:3378|1:915|total:54609"" ratings_count=54609 ratings_sum=206982 reviews_count=106484 text_reviews_count=3337>",444,Hardcover,http://www.goodreads.com/book/show/6516450-what-the-dog-saw-and-other-adventures,http://www.goodreads.com/book/show/6516450-what-the-dog-saw-and-other-adventures,,
The Power of Now: A Guide to Spiritual Enlightenment,6708,1577314808,9781577314806,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,8,19,New World Library,eng,"Ekhart Tolle's message is simple: living in the now is the truest path to happiness and enlightenment. And while this message may not seem stunningly original or fresh, Tolle's clear writing, supportive voice and enthusiasm make this an excellent manual for anyone who's ever wondered what exactly ""living in the now"" means. Foremost, Tolle is a world-class teacher, able to explain complicated concepts in concrete language. More importantly, within a chapter of reading this book, readers are already holding the world in a different container--more conscious of how thoughts and emotions get in the way of their ability to live in genuine peace and happiness.<p>Tolle packs a lot of information and inspirational ideas into <em>The Power of Now</em>. (Topics include the source of Chi, enlightened relationships, creative use of the mind, impermanence and the cycle of life.) Thankfully, he's added markers that symbolise ""break time"". This is when readers should close the book and mull over what they just read. As a result, <em>The Power of Now</em> reads like the highly acclaimed <em>A Course in Miracles</em>--a spiritual guidebook that has the potential to inspire just as many study groups and change just as many lives for the better. --<em>Gail Hudson</em></p>","#<Hashie::Mash best_book_id=6708 books_count=97 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=4058105 id=840520 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=3 original_publication_year=1997 original_title=""The power of now"" rating_dist=""5:35159|4:23362|3:12876|2:4430|1:2459|total:78286"" ratings_count=78286 ratings_sum=319190 reviews_count=144687 text_reviews_count=3848>",229,Paperback,http://www.goodreads.com/book/show/6708.The_Power_of_Now,http://www.goodreads.com/book/show/6708.The_Power_of_Now,,
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",5544,0393316041,9780393316049,"",http://d.gr-assets.com/books/1348445281m/5544.jpg,1997,4,12,W. W. Norton & Company,en-US,"Richard Feynman (1918-1988), winner of the Nobel Prize in physics, thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek; cracking the uncrackable safes guarding the most deeply held nuclear secrets; painting a naked female toreador - and much else of an eyebrow-raising nature.<br><br>In short, here is Feynman's life in all its eccentric glory - a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.","#<Hashie::Mash best_book_id=5544 books_count=78 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=9406522 id=321174 media_type=""book"" original_language_id=nil original_publication_day=17 original_publication_month=12 original_publication_year=1984 original_title=""Surely You're Joking, Mr. Feynman! Adventures of a Curious Character"" rating_dist=""5:36098|4:22910|3:8172|2:1833|1:1463|total:70476"" ratings_count=70476 ratings_sum=301775 reviews_count=128196 text_reviews_count=2411>",391,Paperback,http://www.goodreads.com/book/show/5544.Surely_You_re_Joking_Mr_Feynman_,http://www.goodreads.com/book/show/5544.Surely_You_re_Joking_Mr_Feynman_,,
"Piano Lessons: Music, Love, and True Adventures",382778,0385318219,9780385318211,"",http://d.gr-assets.com/books/1320401817m/382778.jpg,1997,3,10,Delta,,"<em>Piano Lessons</em> is Noah Adams's delightful and moving chronicle of his fifty-second year--a year already filled with long, fast workdays and too little spare time--as he answers at last a lifelong call: to learn to play the piano.  The twelve monthly chapters span from January--when after decades of growing affection for keyboard artists and artisans he finally plunges in and buys a piano--through December, when as a surprise Christmas present for his wife he dresses in a tuxedo and, in flickering candlelight, snow falling outside the windows, he attempts their favorite piece of music, a difficult third-year composition he's been struggling with in secret to get to this very moment.<br><br>Among the up-tempo triumphs and unexpected setbacks, Noah Adams interweaves the rich history and folklore that surround the piano.  And along the way, set between the ragtime rhythms and boogie-woogie beats, there are encounters with--and insights from--masters of the keyboard, from Glenn Gould and Leon Fleisher (""I was a bit embarrassed,"" he writes; ""telling Leon Fleisher about my ambitions for piano lessons is like telling Julia Child about plans to make toast in the morning"") to Dr. John and Tori Amos.<br><br>As a storyteller, Noah Adams has perfect pitch.  In the foreground here, like a familiar melody, are the challenges of learning a complex new skill as an adult, when enthusiasm meets the necessary repetition of tedious scales at the end of a twelve-hour workday.  Lingering in the background, like a subtle bass line, are the quiet concerns of how we spend our time and how our priorities shift as we proceed through life.  For <em>Piano Lessons</em> is really an adventure story filled with obstacles to overcome and grand leaps forward, eccentric geniuses and quiet moments of pre-dawn practice, as Noah Adams travels across country and keyboard, pursuing his dream and keeping the rhythm.","#<Hashie::Mash best_book_id=382778 books_count=4 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=nil id=3039147 media_type=nil original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=1996 original_title=""Piano Lessons: Music, Love, and True Adventures"" rating_dist=""5:151|4:235|3:153|2:44|1:5|total:588"" ratings_count=588 ratings_sum=2247 reviews_count=955 text_reviews_count=79>",272,Paperback,http://www.goodreads.com/book/show/382778.Piano_Lessons,http://www.goodreads.com/book/show/382778.Piano_Lessons,,
The Road,6288,0307265439,9780307265432,"",http://d.gr-assets.com/books/1439197219m/6288.jpg,2006,9,26,Knopf,eng,"A searing, post apocalyptic novel destined to become Cormac McCarthy’s masterpiece.<br><br>A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.","#<Hashie::Mash best_book_id=6288 books_count=160 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=19821046 id=3355573 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=2006 original_title=""The Road"" rating_dist=""5:171019|4:157316|3:84288|2:31133|1:17627|total:461383"" ratings_count=461383 ratings_sum=1817116 reviews_count=674387 text_reviews_count=33758>",241,Hardcover,http://www.goodreads.com/book/show/6288.The_Road,http://www.goodreads.com/book/show/6288.The_Road,,
High Fidelity,285092,1573225517,9781573225519,"",http://d.gr-assets.com/books/1327928082m/285092.jpg,1996,8,,Riverhead Books,eng,"It has been said often enough that baby boomers are a television generation, but the very funny novel High Fidelity reminds that in a way they are the record-album generation as well. This funny novel is obsessed with music; Hornby's narrator is an early-thirty-something English guy who runs a London record store. He sells albums recorded the old-fashioned way-on vinyl-and is having a tough time making other transitions as well, specifically adulthood. The book is in one sense a love story, both sweet and interesting; most entertaining, though, are the hilarious arguments over arcane matters of pop music.","#<Hashie::Mash best_book_id=285092 books_count=116 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=9978483 id=2961887 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=1995 original_title=""High Fidelity"" rating_dist=""5:38892|4:55395|3:30011|2:5965|1:1360|total:131623"" ratings_count=131623 ratings_sum=519363 reviews_count=184873 text_reviews_count=3966>",323,Paperback,http://www.goodreads.com/book/show/285092.High_Fidelity,http://www.goodreads.com/book/show/285092.High_Fidelity,,
Double Luck: Memoirs of a Chinese Orphan,599508,0823415600,9780823415601,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000,3,1,Holiday House,,"An orphan in China in 1944 when he was three years old, Chi Fa found a way to make his dreams of freedom come true. Chronology and family tree.","#<Hashie::Mash best_book_id=599508 books_count=1 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=nil id=586129 media_type=nil original_language_id=nil original_publication_day=14 original_publication_month=3 original_publication_year=2000 original_title=""Double Luck: Memoirs of a Chinese Orphan"" rating_dist=""5:76|4:66|3:37|2:2|1:0|total:181"" ratings_count=181 ratings_sum=759 reviews_count=289 text_reviews_count=32>",212,Hardcover,http://www.goodreads.com/book/show/599508.Double_Luck,http://www.goodreads.com/book/show/599508.Double_Luck,,
"The Forever War (The Forever War, #1)",21611,0060510862,9780060510862,"",http://d.gr-assets.com/books/1386852511m/21611.jpg,2003,9,2,Voyager,eng,"<strong>Series Info:</strong><br>This is the first part of the ""Forever War"" series, however it can be read as a standalone.<br><br><strong>Book Description:</strong><br>The Earth's leaders have drawn a line in the interstellar sand—despite the fact that the fierce alien enemy that they would oppose is inscrutable, unconquerable, and very far away.  A reluctant conscript drafted into an elite Military unit, Private William Mandella has been propelled through space and time to fight in the distant thousand-year conflict; to perform his duties without rancor and even rise up through military ranks. Pvt. Mandella is willing to do whatever it takes to survive the ordeal and return home.  But ""home"" may be even more terrifying than battle, because, thanks to the time dilation caused by space travel, Mandella is aging months while the Earth he left behind is aging centuries.","#<Hashie::Mash best_book_id=21611 books_count=77 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=24818797 id=423 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=12 original_publication_year=1974 original_title=""The Forever War"" rating_dist=""5:30468|4:29493|3:13184|2:2625|1:715|total:76485"" ratings_count=76485 ratings_sum=315829 reviews_count=119160 text_reviews_count=3184>",278,Paperback,http://www.goodreads.com/book/show/21611.The_Forever_War,http://www.goodreads.com/book/show/21611.The_Forever_War,,
Listen to This,7962206,0374187746,9780374187743,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2010,9,28,"Farrar, Straus and Giroux",en-US,"One of <em>The Telegraph</em>'s Best Music Books 2011<br><br>Alex Ross's award-winning international bestseller, <em>The Rest Is Noise: Listening to the Twentieth Century</em>, has become a contemporary classic, establishing Ross<em> </em>as one of our most popular and acclaimed cultural historians.<em> Listen to This</em>, which takes its title from a beloved 2004 essay<em> </em>in which Ross describes his late-blooming discovery of pop music,<em> </em>showcases the best of his writing from more than a decade at<em> The New Yorker</em>. These pieces, dedicated to classical and popular<em> </em>artists alike, are at once erudite and lively. In a previously unpublished<em> </em>essay, Ross brilliantly retells hundreds of years of music<em> </em>history-from Renaissance dances to Led Zeppelin-through a few<em> </em>iconic bass lines of celebration and lament. He vibrantly sketches<em> </em>canonical composers such as Schubert, Verdi, and Brahms; gives<em> </em>us in-depth interviews with modern pop masters such as Björk<em> </em>and Radiohead; and introduces us to music students at a Newark<em> </em>high school and indie-rock hipsters in Beijing.<br><br>Whether his subject is Mozart or Bob Dylan, Ross shows how music expresses the full complexity of the human condition. Witty, passionate, and brimming with insight, <em>Listen to This </em>teaches us how to listen more closely.","#<Hashie::Mash best_book_id=7962206 books_count=13 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=1548099 id=11848464 media_type=""book"" original_language_id=nil original_publication_day=28 original_publication_month=9 original_publication_year=2010 original_title=nil rating_dist=""5:398|4:510|3:279|2:68|1:26|total:1281"" ratings_count=1281 ratings_sum=5029 reviews_count=3494 text_reviews_count=91>",384,Hardcover,http://www.goodreads.com/book/show/7962206-listen-to-this,http://www.goodreads.com/book/show/7962206-listen-to-this,,
In Defense of Food: An Eater's Manifesto,315425,1594201455,9781594201455,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2008,1,1,Penguin Press,en-US,"Michael Pollan's last book, <em>The Omnivore's Dilemma</em>, launched a national conversation about the American way of eating; now <em>In Defense of Food</em> shows us how to change it, one meal at a time. Pollan proposes a new answer to the question of what we should eat that comes down to seven simple but liberating words: <em>Eat food. Not too much. Mostly plants</em>. Pollan's bracing and eloquent manifesto shows us how we can start making thoughtful food choices that will enrich our lives, enlarge our sense of what it means to be healthy, and bring pleasure back to eating.","#<Hashie::Mash best_book_id=315425 books_count=41 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=nil id=3100234 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=1 original_publication_year=2007 original_title=""In Defense of Food: An Eater's Manifesto"" rating_dist=""5:23942|4:29856|3:14003|2:2381|1:556|total:70738"" ratings_count=70738 ratings_sum=286461 reviews_count=134668 text_reviews_count=6434>",205,Hardcover,http://www.goodreads.com/book/show/315425.In_Defense_of_Food,http://www.goodreads.com/book/show/315425.In_Defense_of_Food,,
Cradle to Cradle: Remaking the Way We Make Things,5571,0865475873,9780865475878,"",http://d.gr-assets.com/books/1417605547m/5571.jpg,2002,4,22,North Point Press,en-US,"""Reduce, reuse, recycle,"" urge environmentalists; in other words, do more with less in order to minimize damage. But as architect William McDonough and chemist Michael Braungart point out in this provocative, visionary book, such an approach only perpetuates the one-way, ""cradle to grave"" manufacturing model, dating to the Industrial Revolution, that creates such fantastic amounts of waste and pollution in the first place. Why not challenge the belief that human industry must damage the natural world? In fact, why not take nature itself as our model for making things? A tree produces thousands of blossoms in order to create another tree, yet we consider its abundance not wasteful but safe, beautiful, and highly effective.<br><br><strong>Waste equals food.</strong><br><br>Guided by this principle, McDonough and Braungart explain how products can be designed from the outset so that, after their useful lives, they will provide nourishment for something new. They can be conceived as ""biological nutrients"" that will easily reenter the water or soil without depositing synthetic materials and toxins. Or they can be ""technical nutrients"" that will continually circulate as pure and valuable materials within closed-loop industrial cycles, rather than being ""recycled"" -- really, downcycled -- into low-grade materials and uses. Drawing on their experience in (re)designing everything from carpeting to corporate campuses, McDonough and Braungart make an exciting and viable case for putting eco-effectiveness into practice, and show how anyone involved with making anything can begin to do as well. <br><br><strong>William McDonough</strong> is an architect and the founding principal of William McDonough + Partners, Architecture and Community Design, based in Charlottesville, Virginia. From 1994 to 1999 he served as dean of the school of architecture at the University of Virginia. In 1999 <em>Time</em> magazine recognized him as a ""Hero for the Planet,"" stating that ""his utopianism is grounded in a unified philosophy that -- in demonstrable and practical ways -- is changing the design of the world."" In 1996, he received the Presidential Award for Sustainable Development, the highest environmental honor given by the United States.<br><br><strong>Michael Braungart</strong> is a chemist and the founder of the Environmental Protection Encouragement Agency (EPEA) in Hamburg, Germany. Prior to starting EPEA, he was the director of the chemistry section for Greenpeace. Since 1984 he has been lecturing at universities, businesses, and institutions around the world on critical new concepts for ecological chemistry and materials flow management. Dr. Braungart is the recipient of numerous honors, awards, and fellowships from the Heinz Endowment, the W. Alton Jones Foundation, and other organizations.<br><br>In 1995 the authors created McDonough Braungart Design Chemistry, a product and systems development firm assisting client companies in implementing their unique sustaining design protocol. Their clients include Ford Motor Company, Nike, Herman Miller, BASF, DesignTex, Pendleton, Volvo, and the city of Chicago.","#<Hashie::Mash best_book_id=5571 books_count=23 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=nil id=1589115 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=2002 original_title=""Cradle to Cradle: Remaking the Way We Make Things"" rating_dist=""5:2509|4:2593|3:1230|2:243|1:36|total:6611"" ratings_count=6611 ratings_sum=27129 reviews_count=12841 text_reviews_count=694>",193,Paperback,http://www.goodreads.com/book/show/5571.Cradle_to_Cradle,http://www.goodreads.com/book/show/5571.Cradle_to_Cradle,"[""William McDonough"", ""Michael Braungart""]","
The Big Short: Inside the Doomsday Machine,8032112,0393338827,9780393338829,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2011,2,25,W. W. Norton & Company,eng,"<strong>The #1 New York Times bestseller: ""It is the work of our greatest financial journalist, at the top of his game. And it's essential reading.""—Graydon Carter, Vanity Fair</strong><br><br>The real story of the crash began in bizarre feeder markets where the sun doesn't shine and the SEC doesn't dare, or bother, to tread: the bond and real estate derivative markets where geeks invent impenetrable securities to profit from the misery of lower- and middle-class Americans who can't pay their debts. The smart people who understood what was or might be happening were paralyzed by hope and fear; in any case, they weren't talking.<br><br>Michael Lewis creates a fresh, character-driven narrative brimming with indignation and dark humor, a fitting sequel to his #1 bestseller Liar's Poker. Out of a handful of unlikely-really unlikely-heroes, Lewis fashions a story as compelling and unusual as any of his earlier bestsellers, proving yet again that he is the finest and funniest chronicler of our time.","#<Hashie::Mash best_book_id=8032112 books_count=32 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=216786 id=6654434 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=11 original_publication_year=2009 original_title=""The Big Short: Inside the Doomsday Machine"" rating_dist=""5:23870|4:23367|3:7744|2:1435|1:594|total:57010"" ratings_count=57010 ratings_sum=239514 reviews_count=97197 text_reviews_count=3684>",270,Paperback,http://www.goodreads.com/book/show/8032112-the-big-short,http://www.goodreads.com/book/show/8032112-the-big-short,,
Unfamiliar Fishes,8857310,1594487871,9781594487873,"",http://d.gr-assets.com/books/1311706005m/8857310.jpg,2011,3,22,Riverhead Books,,"Many think of 1776 as the defining year of American history, when we became a nation devoted to the pursuit of happiness through self- government. In <em>Unfamiliar Fishes,</em> Sarah Vowell argues that 1898 might be a year just as defining, when, in an orgy of imperialism, the United States annexed Hawaii, Puerto Rico, and Guam, and invaded first Cuba, then the Philippines, becoming an international superpower practically overnight.<br><br>Among the developments in these outposts of 1898, Vowell considers the Americanization of Hawaii the most intriguing. From the arrival of New England missionaries in 1820, their goal to Christianize the local heathen, to the coup d'état of the missionaries' sons in 1893, which overthrew the Hawaiian queen, the events leading up to American annexation feature a cast of beguiling, and often appealing or tragic, characters: whalers who fired cannons at the Bible-thumpers denying them their God-given right to whores, an incestuous princess pulled between her new god and her brother-husband, sugar barons, lepers, con men, Theodore Roosevelt, and the last Hawaiian queen, a songwriter whose sentimental ode ""Aloha 'Oe"" serenaded the first Hawaiian president of the United States during his 2009 inaugural parade.<br><br>With her trademark smart-alecky insights and reporting, Vowell lights out to discover the off, emblematic, and exceptional history of the fiftieth state, and in so doing finds America, warts and all.","#<Hashie::Mash best_book_id=8857310 books_count=9 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=1293927 id=13594625 media_type=""book"" original_language_id=nil original_publication_day=4 original_publication_month=2 original_publication_year=2011 original_title=nil rating_dist=""5:1422|4:3481|3:3174|2:823|1:179|total:9079"" ratings_count=9079 ratings_sum=32381 reviews_count=19184 text_reviews_count=1495>",238,Hardcover,http://www.goodreads.com/book/show/8857310-unfamiliar-fishes,http://www.goodreads.com/book/show/8857310-unfamiliar-fishes,,
The Robber Bride,17650,0385491034,9780385491037,"",http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1998,1,20,Anchor,eng,"Margaret Atwood's <em>The Robber Bride</em> is inspired by ""The Robber Bridegroom,"" a wonderfully grisly tale from the Brothers Grimm in which an evil groom lures three maidens into his lair and devours them, one by one. But in her version, Atwood brilliantly recasts the monster as Zenia, a villainess of demonic proportions, and sets her loose in the lives of three friends, Tony,  Charis, and Roz. All three ""have lost men, spirit, money, and time to their old college acquaintance, Zenia. At various times, and in various emotional disguises, Zenia has insinuated her way into their lives and practically demolished them. To Tony, who almost lost her husband and jeopardized her academic career, Zenia is 'a lurking enemy  commando.' To Roz, who did lose her husband and almost her magazine, Zenia is 'a cold and treacherous bitch.' To Charis, who lost a boyfriend, quarts of vegetable juice and some pet chickens, Zenia is a kind of zombie, maybe 'soulless'"" (Lorrie Moore, <em>New York Times Book  Review</em>). In love and war, illusion and deceit, Zenia's subterranean malevolence takes us deep into her enemies' pasts.","#<Hashie::Mash best_book_id=17650 books_count=64 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=5516997 id=1119196 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=1 original_publication_year=1992 original_title=""The Robber Bride"" rating_dist=""5:6102|4:10777|3:7115|2:1524|1:353|total:25871"" ratings_count=25871 ratings_sum=98364 reviews_count=41568 text_reviews_count=1312>",528,Paperback,http://www.goodreads.com/book/show/17650.The_Robber_Bride,http://www.goodreads.com/book/show/17650.The_Robber_Bride,,
Ready Player One,9969571,030788743X,9780307887436,"",http://d.gr-assets.com/books/1406383612m/9969571.jpg,2011,8,16,Random House NY,eng,"In the year 2044, reality is an ugly place. The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the  OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines, puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. When Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape.","#<Hashie::Mash best_book_id=9969571 books_count=65 default_chaptering_book_id=9969571 default_description_language_code=nil desc_user_id=3236194 id=14863741 media_type=""book"" original_language_id=nil original_publication_day=1 original_publication_month=1 original_publication_year=2011 original_title=""Ready Player One"" rating_dist=""5:101026|4:63686|3:22402|2:5663|1:2091|total:194868"" ratings_count=194868 ratings_sum=840497 reviews_count=335223 text_reviews_count=29373>",374,Hardcover,http://www.goodreads.com/book/show/9969571-ready-player-one,http://www.goodreads.com/book/show/9969571-ready-player-one,,
"Ender's Game (The Ender Quintet, #1)",375802,0812550706,9780812550702,"",http://d.gr-assets.com/books/1408303130m/375802.jpg,1994,7,15,Tor Science Fiction,eng,"In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut—young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training.<br><br>Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. <br><br>Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If, that is, the world survives.<br><br>Ender's Game is the winner of the 1985 Nebula Award for Best Novel and the 1986 Hugo Award for Best Novel.","#<Hashie::Mash best_book_id=375802 books_count=207 default_chaptering_book_id=820750 default_description_language_code=nil desc_user_id=1356784 id=2422333 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=1985 original_title=""Ender's Game"" rating_dist=""5:362995|4:208771|3:83249|2:22662|1:13130|total:690807"" ratings_count=690807 ratings_sum=2958260 reviews_count=947736 text_reviews_count=32999>",324,Paperback,http://www.goodreads.com/book/show/375802.Ender_s_Game,http://www.goodreads.com/book/show/375802.Ender_s_Game,,
The Miracle of Mindfulness: An Introduction to the Practice of Meditation,95747,0807012394,9780807012390,"",http://d.gr-assets.com/books/1320448079m/95747.jpg,1999,5,1,Beacon Press,,"In this beautiful and lucid guide, Zen master Thich Nhat Hanh offers gentle anecdotes and practical exercise as a means of learning the skills of mindfulness--being awake and fully aware. From washing the dishes to answering the phone to peeling an orange, he reminds us that each moment holds within it an opportunity to work toward greater self-understanding and peacefulness.","#<Hashie::Mash best_book_id=95747 books_count=44 default_chaptering_book_id=nil default_description_language_code=nil desc_user_id=nil id=105847 media_type=""book"" original_language_id=nil original_publication_day=nil original_publication_month=nil original_publication_year=1975 original_title=""The Miracle of Mindfulness: A Manual on Meditation"" rating_dist=""5:4690|4:3474|3:1268|2:208|1:79|total:9719"" ratings_count=9719 ratings_sum=41645 reviews_count=23872 text_reviews_count=444>",160,Paperback,http://www.goodreads.com/book/show/95747.The_Miracle_of_Mindfulness,http://www.goodreads.com/book/show/95747.The_Miracle_of_Mindfulness,,
Boomerang: Travels in the New Third World,13707738,0393343448,9780393343441,"",http://d.gr-assets.com/books/1345046879m/13707738.jpg,2012,9,4,W. W. Norton & Company,eng,"The tsunami of cheap credit that rolled across the planet between 2002 and 2008 was more than a simple financial phenomenon: it was temptation, offering entire societies the chance to reveal aspects of their characters they could not normally afford to indulge.<br><br><br>Icelanders wanted to stop fishing and become investment bankers. The Greeks wanted to turn their country into a pinata stuffed with cash and allow as many citizens as possible to take a whack at it. The Germans wanted to be even more German; the Irish wanted to stop being Irish.<br><br><br>Michael Lewis's investigation of bubbles beyond our shores is so brilliantly, sadly hilarious that it leads the American reader to a comfortable complacency: oh, those foolish foreigners. But when he turns a merciless eye on California and Washington, DC, we see that the narrative is a trap baited with humor, and we understand the reckoning that awaits the greatest and greediest of debtor nations.","#<Hashie::Mash best_book_id=13707738 books_count=36 default_chaptering_book_id=9534444 default_description_language_code=nil desc_user_id=5893935 id=14420600 media_type=""book"" original_language_id=nil original_publication_day=3 original_publication_month=10 original_publication_year=2011 original_title=""Boomerang: Travels in the New Third World"" rating_dist=""5:6441|4:9653|3:5354|2:1190|1:588|total:23226"" ratings_count=23226 ratings_sum=89847 reviews_count=40434 text_reviews_count=1583>",218,Paperback,http://www.goodreads.com/book/show/13707738-boomerang,http://www.goodreads.com/book/show/13707738-boomerang,,
